msoa,brownfield area
E02000001,0.22
E02000002,4.91
E02000003,1.43
E02000005,6.24
E02000007,2.1
E02000008,0.16
E02000009,0.15
E02000011,0.12
E02000013,0.4
E02000014,0.11
E02000015,3.92
E02000016,6.13
E02000017,0.01
E02000018,0.12
E02000019,5.69
E02000020,0.39
E02000021,38.62
E02000022,26.82
E02000023,179.94
E02000024,14.271
E02000025,0.15
E02000026,0.544
E02000027,3.82
E02000028,0.85
E02000029,3.607
E02000030,11.61
E02000031,10.903056
E02000032,4.004
E02000033,33.06
E02000034,0.5
E02000035,1.991
E02000036,0.275
E02000037,5.075
E02000038,0.115
E02000039,0.27
E02000040,51.17
E02000041,2.075
E02000042,4.12
E02000046,2.3219
E02000047,1.408
E02000048,0.278
E02000049,46.93
E02000050,0.219
E02000051,1.385101
E02000052,0.119
E02000053,41.830582
E02000055,2.302
E02000056,4.16
E02000057,0.519
E02000058,0.096
E02000059,31.378
E02000060,0.73
E02000061,1.58
E02000062,4.442
E02000063,188.925
E02000064,3.633
E02000065,0.04
E02000067,0.23
E02000068,0.443
E02000069,0.594
E02000070,0.333
E02000072,2.76
E02000074,0.28
E02000079,0.692
E02000080,0.24
E02000082,0.15
E02000083,0.98161
E02000086,0.03
E02000087,0.32
E02000088,0.07
E02000090,0.554
E02000091,0.28
E02000092,2.214
E02000093,0.833
E02000094,2.07
E02000095,0.051
E02000096,2.783
E02000097,0.16
E02000098,0.294
E02000099,0.2
E02000100,0.285
E02000101,4.826
E02000102,0.42
E02000103,0.534
E02000104,0.065
E02000105,0.269
E02000106,5.267
E02000107,0.808
E02000108,0.205
E02000109,7.65
E02000110,0.039
E02000111,0.481
E02000112,4.495
E02000113,1.19
E02000114,0.548
E02000115,0.531
E02000116,1.818
E02000117,2.286
E02000118,7.75
E02000119,14.94
E02000120,0.027
E02000121,7.891
E02000122,0.329
E02000123,4.62
E02000124,1.351
E02000125,0.086
E02000126,1.71
E02000130,0.018
E02000131,0.068
E02000132,0.6
E02000133,0.18
E02000134,0.3
E02000136,6.86
E02000137,0.133
E02000139,0.278
E02000142,0.044
E02000146,0.059
E02000150,1.62
E02000154,0.06
E02000155,0.11
E02000163,0.172
E02000166,0.92
E02000168,0.82
E02000169,0.21
E02000172,0.91
E02000173,0.49
E02000174,0.32
E02000175,2.35
E02000176,0.1
E02000177,1.3
E02000178,0.6
E02000179,0.24
E02000180,0.24
E02000181,0.07
E02000182,0.46
E02000183,4.49
E02000184,5.13
E02000185,0.1
E02000186,5.36
E02000187,2.1
E02000188,10.62
E02000189,0.52
E02000191,1.13
E02000192,3.36
E02000193,1.3
E02000194,3.38
E02000195,0.454
E02000196,0.2152
E02000197,0.719
E02000198,1.187
E02000200,0.312
E02000201,0.861
E02000202,0.27
E02000203,2.024
E02000204,1.525
E02000206,1.207
E02000207,1.248487
E02000208,11.075
E02000209,13.638
E02000210,0.024
E02000211,0.5755
E02000212,1.18
E02000213,11.295909
E02000214,0.751
E02000215,2.376
E02000216,1.101798
E02000217,10.153
E02000219,1.1495
E02000220,13.1976
E02000221,3.721
E02000222,1.4839
E02000224,2.324
E02000225,0.09
E02000226,0.577
E02000227,0.437114
E02000228,2.0078
E02000229,0.72
E02000230,9.921
E02000231,4.6247
E02000232,1.694
E02000233,0.863
E02000234,3.284
E02000235,2.035
E02000236,1.44
E02000237,2.307
E02000238,10.49
E02000240,0.3
E02000243,0.62
E02000244,1.01
E02000248,1.55
E02000249,0.56
E02000251,0.11
E02000252,40.61
E02000255,0.11
E02000256,3.31
E02000257,7.69
E02000258,6.84
E02000260,7.15
E02000262,2
E02000263,33.14
E02000265,2.68
E02000266,8.81
E02000267,1.47
E02000268,0.09
E02000269,0.03
E02000270,9.62
E02000271,0.02
E02000274,11.04
E02000275,1.12
E02000278,0.029
E02000280,0.864
E02000284,0.117
E02000286,7.705
E02000287,26.774
E02000288,0.028
E02000290,1.503
E02000291,0.086
E02000293,0.77
E02000294,0.549
E02000295,0.564
E02000296,0.132
E02000297,0.245
E02000298,1.175
E02000303,0.438
E02000305,0.01
E02000306,1.59
E02000308,0.014
E02000309,7.222
E02000314,0.39
E02000315,2.15
E02000316,22.29
E02000317,5
E02000318,0.09
E02000320,0.33
E02000321,0.03
E02000323,2.23
E02000324,0.82
E02000326,0.03
E02000327,7.55
E02000328,0.03
E02000329,0.1
E02000331,0.12
E02000332,0.03
E02000337,0.47
E02000339,0.08
E02000340,0.6
E02000343,0.05
E02000344,0.1
E02000372,65.28
E02000378,0.062
E02000380,0.11
E02000384,0.174
E02000386,0.06
E02000392,0.31
E02000394,0.68
E02000396,4.5
E02000397,0.17
E02000398,27.66
E02000400,2.06
E02000401,1.14
E02000402,0.61
E02000403,3.9
E02000404,0.01
E02000405,0.02
E02000407,1.744
E02000408,2.15
E02000409,1.02
E02000410,0.49
E02000411,21.71
E02000412,23.59
E02000413,0.88
E02000414,0
E02000415,1.76
E02000416,2.88
E02000417,3.06
E02000418,0.63
E02000419,3.1
E02000420,2.68
E02000421,8.16
E02000422,2.08
E02000423,4.61
E02000424,0.04
E02000425,1.49
E02000426,4.44
E02000427,6.6
E02000428,0.94
E02000429,0.42
E02000430,0.43
E02000431,4.19
E02000432,0.47
E02000433,35.61
E02000434,1.87
E02000436,0.39
E02000438,0.02
E02000439,0.56
E02000442,0.28
E02000443,0.2
E02000444,0.94
E02000445,12.33
E02000447,9.62
E02000448,0.74
E02000452,20.63
E02000453,0.36
E02000454,0.07
E02000455,5.47
E02000456,0.13
E02000457,1.77
E02000459,4.44
E02000460,3.83
E02000461,0.82
E02000462,0.62
E02000463,0.15
E02000494,0.98
E02000495,0.31
E02000496,0.46
E02000499,0.56
E02000500,0.58
E02000501,0.16
E02000502,8.59
E02000504,0.2
E02000506,3
E02000507,3.73
E02000508,46.78
E02000509,0.91
E02000510,0.44
E02000511,0.84
E02000512,0.22
E02000514,0.18
E02000515,5.03
E02000516,1.69
E02000517,0.06
E02000518,0.2
E02000519,0.02
E02000520,10.01
E02000522,0.64
E02000523,15.4
E02000524,0.87
E02000525,0.31
E02000528,7.02
E02000534,0.05
E02000539,0.27
E02000540,1.63
E02000543,0.84
E02000549,0.38
E02000554,0.21
E02000555,0.884
E02000556,1.62
E02000557,2.81
E02000558,14.23
E02000559,0.1
E02000560,1.81
E02000561,0.1
E02000562,1.7
E02000563,6.94
E02000564,0.2
E02000565,1.73
E02000566,0.08
E02000567,2.98
E02000568,7.04
E02000569,0.58
E02000570,1.52
E02000571,3.48
E02000572,0.57
E02000573,2.49
E02000574,0.55
E02000575,4.29
E02000576,7.64
E02000577,18.863845
E02000578,0.582972
E02000579,0.88
E02000580,0.13
E02000581,0.253137
E02000582,0.09
E02000584,1.01
E02000585,0.05
E02000586,1.074971
E02000587,0.466
E02000588,0.735
E02000589,0.02
E02000590,1.62
E02000591,4.295634
E02000592,0.86
E02000593,6.35918
E02000594,0.012
E02000595,1.519
E02000597,2.547
E02000598,2.53
E02000599,3.33
E02000600,0.7
E02000601,1.54
E02000602,10.41
E02000604,2.69
E02000605,0.18
E02000606,10.72
E02000607,0.64
E02000608,0.06
E02000609,0.06
E02000610,1.8
E02000612,0.14
E02000613,0.83
E02000614,5.52
E02000619,0.93
E02000620,0.03
E02000621,0.57
E02000622,0.22
E02000624,2.28
E02000626,0.04
E02000628,0.47
E02000629,0.2
E02000633,0.11
E02000635,0.09
E02000636,0.26
E02000640,0.8
E02000641,0.22
E02000642,0.15
E02000643,0.07
E02000644,0.41
E02000645,0.28
E02000649,0.23
E02000651,0.06
E02000653,1.48
E02000654,7.77
E02000655,14.44
E02000657,0.81
E02000658,1.91
E02000659,6.93
E02000661,0.93
E02000662,0.63
E02000663,0.98
E02000664,15.52
E02000665,2.44
E02000666,0.04
E02000667,0.24
E02000668,0.85
E02000669,0.45
E02000670,0.38
E02000671,0.32
E02000672,4.98
E02000673,2.4
E02000674,0.24
E02000675,0.33
E02000676,0.14
E02000677,21.12
E02000679,2.59
E02000680,3.32
E02000681,0.28
E02000682,6.3
E02000683,0.78
E02000685,2.69
E02000686,0.31
