msoa,brownfield area
E02000687,1.33
E02000689,6.085077
E02000690,0.08
E02000691,0.43
E02000692,0.45
E02000693,0.03
E02000694,0.393803
E02000695,0.57
E02000696,0.12
E02000697,1.080268
E02000698,0.4
E02000699,0.55
E02000700,0.09
E02000701,0.61
E02000702,0.06
E02000703,0.561209
E02000704,2.39
E02000706,0.412461
E02000708,0.04
E02000709,0.02
E02000710,2.719548
E02000711,0.847214
E02000712,1.835602
E02000714,0.06
E02000715,0.155506
E02000717,0.029
E02000719,0.224771
E02000721,0.07
E02000723,0.41
E02000725,0.51
E02000726,6.26
E02000730,0.057831
E02000731,0.122282
E02000732,0.15
E02000733,0.26
E02000734,0.25
E02000735,0.04
E02000736,0.07
E02000737,0.327196
E02000739,0.447472
E02000740,0.058121
E02000741,0.839437
E02000743,0.32
E02000744,0.47
E02000745,0.04
E02000746,1.01
E02000747,0.87
E02000749,1.64
E02000750,1.45
E02000751,1.65
E02000752,3.29
E02000754,0.18
E02000755,0.05
E02000756,4.43
E02000757,2.27
E02000759,2.58
E02000760,0.35
E02000762,0.62
E02000763,8.42
E02000764,1.87
E02000765,0.59
E02000767,1.51
E02000768,0.27
E02000769,3.69
E02000770,1.12
E02000772,58.74
E02000773,3.54
E02000774,4.81
E02000777,0.4
E02000779,4.99
E02000780,9.27
E02000781,1.24
E02000782,6.08
E02000783,0.83
E02000784,18.076
E02000785,0.539
E02000786,10.495
E02000787,3.33
E02000788,0.948
E02000789,2.2
E02000791,0.48
E02000793,10.14
E02000794,10.59
E02000795,5.53
E02000796,0.11
E02000797,2.17
E02000798,0.1
E02000800,4.31
E02000801,2.43
E02000802,0.28
E02000803,0.25
E02000804,0.31
E02000805,1.759
E02000806,5.843
E02000807,0.967
E02000808,19.498174
E02000809,3.7564
E02000810,10.903
E02000812,12.221
E02000813,7.978
E02000814,45.965
E02000815,19.3188
E02000816,6.47
E02000817,2.16
E02000818,12.029
E02000819,17.536
E02000820,2.228
E02000821,25.859
E02000822,4.73
E02000823,4.307
E02000824,55.461
E02000825,3.62
E02000826,2.0536
E02000827,88.6199
E02000828,7.359
E02000829,2.861
E02000830,1.479
E02000831,3.311
E02000832,4.669
E02000833,3.357
E02000834,1.7149
E02000835,1.364
E02000836,0.655
E02000837,2.45
E02000838,1.3105
E02000839,2.9967
E02000868,4.41
E02000871,1.85
E02000872,4.86
E02000874,0.28
E02000875,4.12
E02000876,0.97
E02000877,0.31
E02000881,14.32
E02000883,3.92
E02000884,12.72
E02000887,4.61
E02000891,20.73
E02000895,0.762919
E02000896,0.81
E02000897,0.416
E02000898,2.95
E02000899,0.34
E02000901,1.409016
E02000902,0.686
E02000903,0.12
E02000904,5.24
E02000905,2.607176
E02000906,0.619257
E02000907,1.61
E02000908,8.848901
E02000909,1.236681
E02000910,1.785162
E02000911,5.047059
E02000912,0.6
E02000913,17.453784
E02000914,1.177323
E02000915,0.774
E02000916,2.417
E02000917,1.103
E02000918,2.519928
E02000919,3.894881
E02000920,16.577529
E02000921,0.699049
E02000922,1.99
E02000923,1.63
E02000924,68.35
E02000925,3.25
E02000926,13.4
E02000927,0.59
E02000928,0.27
E02000929,26.83
E02000930,5.32
E02000931,0.76
E02000932,19.2
E02000933,0.69
E02000934,20.27
E02000935,0.11
E02000936,1.72
E02000937,0.35
E02000938,0.65
E02000939,0.59
E02000940,3.51
E02000941,0.8
E02000942,0.28
E02000943,1.16
E02000944,1.46
E02000945,20.92
E02000946,2.29
E02000947,0.13
E02000948,0.48
E02000949,34.36
E02000951,0.13
E02000952,0.25
E02000953,0.11
E02000954,0.7
E02000955,0.58
E02000956,1.31
E02000957,1.54
E02000958,0.09
E02000959,0.46
E02000960,3.302701
E02000961,3.395901
E02000962,1.90987
E02000963,0.821463
E02000964,0.74
E02000965,0.384085
E02000966,0.37
E02000967,0.131762
E02000968,14.470489
E02000969,3.970221
E02000970,2.32845
E02000971,2.687315
E02000972,5.017866
E02000973,7.22936
E02000974,3.216895
E02000975,0.768708
E02000976,5.447578
E02000977,8.002225
E02000978,4.260185
E02000979,5.482386
E02000980,4.296145
E02000981,0.273115
E02000982,6.692374
E02000983,0.892084
E02000985,1.41
E02000986,0.25
E02000987,0.21
E02000988,1.32
E02000989,0.52
E02000990,77.35
E02000991,1.23
E02000992,1.48
E02000993,2.53
E02000994,5.71
E02000995,4.2
E02000996,7.93
E02000997,13.21
E02000998,2.47
E02000999,18.89
E02001000,3.26
E02001002,6.58
E02001003,0.94
E02001004,0.72
E02001005,16.21
E02001006,12.33
E02001007,4.43
E02001008,5.49
E02001009,1.36
E02001010,1.53
E02001011,2.12
E02001012,6.06
E02001013,0.77
E02001014,0.21
E02001015,3.79
E02001016,3.1
E02001017,3.96
E02001018,1.98
E02001019,3.28
E02001020,3.21
E02001021,2.24
E02001022,11.3
E02001023,0.67
E02001024,3.72
E02001025,0.1
E02001026,12.39
E02001027,0.07
E02001028,0.49
E02001029,2.93
E02001030,3.84
E02001031,2.42
E02001032,0.48
E02001033,35.78
E02001034,3.84
E02001035,0.49
E02001036,1.35
E02001037,0.42
E02001038,0.33
E02001039,1.12
E02001041,0.4
E02001042,7.49
E02001043,5.07
E02001044,0.36
E02001045,2.5724
E02001046,3.29757
E02001047,3.061532
E02001048,13.181262
E02001049,0.195624
E02001050,2.93
E02001051,5.67232
E02001052,0.82
E02001053,30.323065
E02001055,32.833357
E02001056,13.3
E02001057,107.707065
E02001059,8.553661
E02001061,10.8
E02001062,6.737133
E02001063,4.603966
E02001064,11.596488
E02001065,1.644315
E02001066,1.81
E02001067,3.46
E02001068,4.25
E02001069,0.92
E02001070,3.775676
E02001071,0.4
E02001072,3.520674
E02001073,2.776083
E02001074,1.141731
E02001075,1.060928
E02001076,2.48
E02001077,1.217001
E02001078,2.501871
E02001079,1.91
E02001080,0.500016
E02001082,1.233768
E02001083,5.069512
E02001084,1.310147
E02001085,0.96
E02001086,1.34
E02001087,0.2
E02001088,1.529956
E02001089,1.88
E02001090,2.023301
E02001091,0.29
E02001092,0.65
E02001093,1.091245
E02001094,10.701387
E02001095,6.000399
E02001096,1.168758
E02001097,1.143868
E02001098,2.19
E02001099,2.44
E02001100,18.42
E02001101,0.06
E02001102,3.47
E02001103,7.28
E02001104,1.8
E02001105,0.62
E02001106,11.55
E02001107,2.95
E02001108,7.97
E02001109,3.28
E02001110,5.99
E02001111,23.1
E02001112,0.27
E02001113,3.64
E02001114,4.43
E02001116,3.46
E02001117,2.91
E02001118,0.03
E02001119,1.06
E02001121,6.44
E02001123,0.46
E02001124,2.66
E02001125,1.09
E02001126,5.24
E02001127,2.55
E02001128,0.79
E02001129,6.73
E02001130,0.31
E02001131,0.07
E02001132,2.79
E02001133,0.96
E02001134,10.44
E02001135,0.27
E02001136,0.51
E02001137,12.36
E02001138,0.4
E02001139,4.07
E02001140,6.68
E02001141,5.7
E02001142,0.61
E02001143,0.49
E02001144,1.84
E02001145,0.45
E02001146,4.67
E02001147,8.29
E02001148,18.91
E02001149,5.91
E02001150,1.3
E02001151,1.65
E02001152,2.43
E02001153,2.61
E02001154,4.24
E02001155,3.51
E02001157,4.92
E02001158,0.7
E02001159,7.65
E02001160,1.03
E02001161,3.16
E02001163,3.84
E02001164,12.85
E02001165,1.85
E02001166,1.63
E02001167,0.72
E02001168,0.39
E02001169,1.86
E02001170,0.9
E02001171,0.03
E02001172,0.9
E02001173,16.58
E02001174,0.03
E02001175,1.1
E02001176,2.84
E02001177,2
E02001178,35.4
E02001179,2.54
E02001180,57.47
E02001181,0.01
E02001182,0.94
E02001183,3.58
E02001184,40.82
E02001185,1.16
E02001186,7.95
E02001187,0.3
E02001189,3.15
E02001191,2.18
E02001193,1.19
E02001196,3.33
E02001198,1.5
E02001199,0.31
E02001200,4.73
E02001201,5.48
E02001202,2.78
E02001203,0.35
E02001204,0.89
E02001205,0.85
E02001208,0.85
E02001209,6.75
E02001210,0.59
E02001211,0.34
E02001212,0.97
E02001213,0.07
E02001214,0.21
E02001215,0.73
E02001216,0.66
E02001217,0.68
E02001218,9.33
E02001221,0.2
E02001227,0.14
E02001229,5.78
E02001230,1.23
E02001231,1.91
E02001232,1.1
E02001234,0.4
E02001235,0.07
E02001236,4.07
E02001237,2.49
E02001238,0.76
E02001239,1.24
E02001240,0.02
E02001241,1.76
E02001242,8.08
E02001243,1.9
E02001244,0.21
E02001245,0.27
E02001248,5.866
E02001249,4.96
E02001250,5.43
E02001251,0.29
E02001253,0.1
E02001254,0.45
E02001255,4.54
E02001256,0.47
E02001257,0.72
E02001258,0.46
E02001259,8.25
E02001261,3.47
E02001264,0.78
E02001266,0.75
E02001267,0.48
E02001269,0.05
E02001275,0.3
E02001278,0.4
E02001281,0.12
E02001282,2.5
E02001283,0.42
E02001287,0.18
E02001288,5.947181
E02001290,1.12212
E02001291,4.452977
E02001292,0.385459
E02001293,0.182668
E02001294,7.003285
E02001295,1.417686
E02001296,0.148535
E02001297,2.019037
E02001298,50.126935
E02001299,14.645864
E02001300,0.755373
E02001301,53.32759
E02001302,109.399757
E02001303,0.597087
E02001304,0.631045
E02001305,0.282002
E02001307,12.21
E02001308,0.569967
E02001309,4.023116
E02001310,2.393012
E02001311,0.15554
E02001312,2.255111
E02001313,22.809858
E02001314,0.505684
E02001315,8.32878
E02001316,2.598215
E02001317,1.111431
E02001318,0.931224
E02001319,2.846014
E02001320,0.15
E02001321,0.845712
E02001322,0.750923
E02001323,11.527416
E02001324,0.289811
E02001326,45.293184
E02001327,1.8
E02001329,0.47
E02001330,7.99
E02001331,1.81
E02001332,2.67
E02001333,3.18
E02001334,0.17
E02001335,2.52
E02001336,1.43
E02001338,0.26
E02001339,3.51
E02001340,5.9
E02001341,0.1
E02001342,4.52
E02001343,1.52
E02001346,0.54
E02001347,6.015367
E02001348,0.297476
E02001349,0.084913
E02001350,0.180575
E02001351,0.00896
E02001352,11.79718
E02001355,0.12632
E02001356,54.215978
E02001357,0.004259
E02001358,0.198969
E02001359,0.42
E02001360,0.921716
E02001361,0.663785
E02001362,0.142914
E02001363,0.446884
E02001364,18.80877
E02001365,0.125371
E02001366,1.276313
E02001367,1.143206
E02001368,59.563131
E02001369,3.46818
E02001370,4.331868
E02001373,0.617679
E02001374,2.163207
E02001375,0.149523
E02001376,0.95919
E02001377,27.2521
E02001378,2.549867
E02001381,2.068189
E02001383,3.91881
E02001384,1.027239
E02001385,1.526878
E02001386,0.679968
E02001387,0.43852
E02001388,0.144291
E02001389,1.308757
E02001390,5.24718
E02001391,0.718057
E02001392,0.856863
E02001393,1.239835
E02001394,1.671052
E02001395,0.076557
E02001396,1.412303
E02001397,0.160336
E02001398,3.076849
E02001399,0.707035
E02001402,0.762081
E02001403,10.694766
E02001404,9.512987
E02001405,0.546096
E02001408,7.78
E02001410,1.73
E02001412,3.14
E02001416,1.33
E02001418,9
E02001419,0.31
E02001423,0.26
E02001424,5.79
E02001427,0.19
E02001428,0.39
E02001429,5.99
E02001431,0.53
E02001432,0.12
E02001434,2.83
E02001435,0.33
E02001436,9.72
E02001437,1.52
E02001438,1.5
E02001442,1.26
E02001444,0.79
E02001445,1.21
E02001446,13.84
E02001450,0.18
E02001451,2.68
E02001452,1.45
E02001454,2.14
E02001455,0.1
E02001456,0.1
E02001457,2.13
E02001458,0.46
E02001459,0.98
E02001460,1.72
E02001461,11.98
E02001462,0.96
E02001463,10.44
E02001464,8.07
E02001465,3.44
E02001466,0.12
E02001467,0.05
E02001468,0.14
E02001469,0.1
E02001471,1.7
E02001473,0.73
E02001474,0.95
E02001475,0.45
E02001476,9.02
E02001477,4.04
E02001478,0.91
E02001479,0.37
E02001480,0.09
E02001481,0.15
E02001482,1.28
E02001484,0.55
E02001486,0.35
E02001487,1.44
E02001488,0.66
E02001492,0.32
E02001493,2.35
E02001494,0.41
E02001495,3.35
E02001496,0.05
E02001497,0.6
E02001500,0.42
E02001502,3.7
E02001503,0.07
E02001504,0.84
E02001505,2.85
E02001506,0.2
E02001509,1
E02001510,8.7
E02001512,4.4
E02001513,4.1
E02001514,4.6
E02001517,1.2
E02001518,2.5
E02001519,0.3
E02001520,0.4
E02001521,15
E02001522,8.7
E02001523,1.5
E02001528,2.7
E02001529,1.5
E02001530,1.3
E02001531,3.9
E02001532,0.6
E02001533,1.5
E02001534,12.4
E02001535,18.92
E02001536,1.2
E02001537,0.5
E02001538,0.7
E02001539,1.39
E02001540,1.842
E02001541,0.79
E02001542,9.78
E02001544,0.462
E02001545,0.21
E02001546,268.386
E02001547,12.67
E02001548,0.462
E02001549,0.352
E02001550,3.49
E02001551,0.227
E02001552,2.476
E02001553,43.39
E02001555,0.17
E02001556,0.485
E02001557,6.528
E02001560,22.444
E02001561,0.25
E02001564,1.874
E02001565,10.66
E02001566,1.37
E02001567,0.707
E02001568,0.06
E02001569,0.68
E02001570,6.63
E02001571,0.6
E02001572,18.08
E02001573,1.458
E02001575,55.6
E02001576,0.51
E02001578,0.91
E02001579,2.03
E02001580,1.11
E02001583,0.32
E02001586,0.13
E02001587,7.77
E02001588,0.89
E02001589,0.58
E02001590,0.58
E02001592,0.59
E02001593,0.14
E02001594,4.68
E02001597,1.05
E02001599,0.59
E02001600,8.85
E02001601,0.2
E02001604,0.23
E02001605,10.49
E02001606,0.31
E02001607,0.15
E02001608,0.87
E02001609,1.43
E02001610,0.96
E02001611,17.53
E02001612,25.69
E02001613,1.38
E02001614,1.55
E02001615,0.24
E02001616,6.02
E02001617,0.4
E02001618,17.43
E02001619,11.73
E02001621,7.73
E02001622,0.53
E02001624,2.25
E02001625,1.96
E02001626,1.96
E02001627,1.52
E02001628,4.57
E02001629,2.57
E02001630,3.56
E02001631,1.05
E02001632,12.26
E02001633,5
E02001634,0.52
E02001635,0.19
E02001636,4.6
E02001637,21.07
E02001638,0.23
E02001640,1.97
E02001642,6
E02001646,2.88
E02001647,0.13
E02001648,0.21
E02001649,34.37
E02001650,2.88
E02001651,2.34
E02001652,8.13
E02001653,14.11
E02001654,0.57
E02001656,1.64
E02001658,7.05
E02001659,0.58
E02001660,0.51
E02001661,0.71
E02001662,5.07
E02001663,1.07
E02001664,0.55
E02001665,18.26
E02001666,0.2
E02001669,2.03
E02001670,2.02
E02001674,3.26
E02001675,0.97
E02001678,3.69
E02001682,1.6
E02001683,0.45
E02001684,10.78
E02001685,16.11
E02001686,8.48
E02001688,65.78
E02001689,7.13
E02001690,9.37
E02001691,3.31
E02001692,2.79
E02001694,10.04
E02001695,5.66
E02001696,0.14
E02001697,0.57
E02001698,0.39
E02001700,9.08
E02001701,1.19
E02001702,7.22
E02001703,0.72
E02001704,0.73
E02001705,1.75
E02001706,3.74
E02001707,11.62
E02001709,0.3
E02001710,0.63
E02001711,2.11
E02001712,2.27
E02001713,2.06
E02001714,4.89
E02001715,1.03
E02001718,1.73
E02001719,2.31
E02001720,0.23
E02001721,1.27
E02001722,0.12
E02001724,0.94
E02001725,4.2
E02001726,2.53
E02001727,6.82
E02001728,36.67
E02001729,7.6
E02001730,2.57512
E02001731,12.16
E02001732,20.55
E02001733,7.55
E02001734,7.28
E02001735,0.05
E02001736,15.99
E02001737,18.47
E02001738,0.12
E02001739,1.38
E02001741,0.28
E02001743,12.490157
E02001744,5.51161
E02001745,13.51
E02001746,2.82
E02001747,0.09
E02001748,0.03
E02001749,0.35
E02001753,5.9017
E02001754,0.17
E02001755,7.2
E02001756,0.63
E02001757,1.02
E02001759,4.824
E02001760,0.45
E02001761,0.17
E02001763,0.67
E02001764,8.87
E02001765,25.8745
E02001766,12.2121
E02001767,1.35
E02001791,0.636857
E02001792,2.466639
E02001794,8.150248
E02001795,5.455168
E02001796,4.987084
E02001797,0.650171
E02001799,0.285331
E02001800,0.476327
E02001802,33.116285
E02001803,6.003502
E02001804,7.21
E02001806,1.688127
E02001809,0.054342
E02001810,1.57777
E02001811,0.194351
E02001812,0.811541
E02001817,12.658849
E02001818,29.854161
E02001820,1.861467
E02001821,0.838378
E02001822,20.82055
E02001823,9.033813
E02001825,11.63161
E02001826,3.187951
E02001827,0.66
E02001828,2.4
E02001829,0.82
E02001830,2.15
E02001831,0.85
E02001832,1.39
E02001833,0.2
E02001835,6.32
E02001836,0.2
E02001837,0.92
E02001838,0.17
E02001839,0.03
E02001840,0.13
E02001841,0.56
E02001843,1.43
E02001844,1.72
E02001845,7.79
E02001846,1.37
E02001847,1.31
E02001848,0.17
E02001849,9.36
E02001850,2.96
E02001851,4.12
E02001852,2.18
E02001854,7.75
E02001855,4.77
E02001856,6.2
E02001857,3.67
E02001858,0.72
E02001859,31.2
E02001860,1.69
E02001861,5.47
E02001862,2.5
E02001863,2.54
E02001864,1.94
E02001865,3.14
E02001866,2.71
E02001867,2.28
E02001868,1.78
E02001869,0.2
E02001870,1.74
E02001871,0.56
E02001872,11.09
E02001873,21.32
E02001874,1.1
E02001875,7.91
E02001876,32.84
E02001877,4.03
E02001878,0.82
E02001879,13.81
E02001880,3.93
E02001881,0.43
E02001882,5.53
E02001883,4.35
E02001884,2.64
E02001886,38.71
E02001888,6.18
E02001889,0.75
E02001890,8.87
E02001892,0.12
E02001893,1.26
E02001895,0.18
E02001896,0.94
E02001897,10.61
E02001898,0.16
E02001899,0.88
E02001900,0.01
E02001901,1.17
E02001902,0.78
E02001903,1.98
E02001904,3.95
E02001905,5.56
E02001906,1.34
E02001907,3.74
E02001908,0.16
E02001909,0.99
E02001910,5.03
E02001911,0.19
E02001913,0.93
E02001914,1.41
E02001915,4.36
E02001916,29.84
E02001918,1.72
E02001919,1.02
E02001920,0.3
E02001921,0.12
E02001922,6.07
E02001923,3.42
E02001924,4.45
E02001925,0.85
E02001926,11.32
E02001927,0.09
E02001928,0.39
E02001929,0.24
E02001930,0.91
E02001931,1.55
E02001932,5.29
E02001933,0.14
E02001934,0.66
E02001936,0.2
E02001937,2.62
E02001938,6.82
E02001939,6.12
E02001942,0.14
E02001943,0.9
E02001944,0.47
E02001945,0.42
E02001946,1.85
E02001947,37.65
E02001948,0.04
E02001949,14.39
E02001950,0.96
E02001951,0.61
E02001952,0.19
E02001953,3.15
E02001954,5.24
E02001955,19.93
E02001956,0.3
E02001957,0.14
E02001958,0.3748
E02001959,30.6272
E02001961,0.35
E02001962,18.8893
E02001963,0.12
E02001964,0.84
E02001965,1.94
E02001966,5.02
E02001967,1.8
E02001968,0.08
E02001969,0.444
E02001970,6.22
E02001971,0.28
E02001972,28.1596
E02001973,0.4311
E02001974,3.13
E02001976,0.6
E02001977,10.359
E02001978,0.3507
E02001979,0.05
E02001981,4.3396
E02001982,5.2763
E02001983,0.47
E02001984,0.87
E02001985,3.2336
E02001986,0.46
E02001987,2.22
E02001988,20.9092
E02001990,0.07
E02001991,6.888
E02001992,1.2657
E02001993,1.722
E02001995,0.18
E02001996,5.0753
E02001999,1.6096
E02002000,21.33
E02002001,0.2
E02002003,2.82
E02002004,1.05
E02002005,0.46
E02002006,0.24
E02002007,1.7
E02002009,0.94
E02002010,4.48
E02002011,15.15
E02002012,1.75
E02002014,3.24
E02002015,23.65
E02002016,4.99
E02002017,12.039
E02002018,0.81
E02002019,3.16
E02002020,4.29
E02002021,5.48
E02002022,13.19
E02002024,10.59
E02002025,8.14
E02002026,1.06
E02002029,0.22
E02002030,10.72
E02002031,6.57
E02002032,0.6
E02002033,5.22
E02002034,4.35
E02002036,15.08
E02002037,0.61
E02002038,0.37
E02002041,0.34
E02002043,8.27
E02002045,2.98
E02002046,28.63
E02002047,22
E02002048,0.43
E02002049,2.52
E02002051,1.98
E02002052,2.44
E02002055,11
E02002056,10.42
E02002057,15.43
E02002058,25.08
E02002059,7.61
E02002060,27.04
E02002061,5.050638
E02002062,14.93
E02002063,26.17
